Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Rolling_Mean,Rolling_Std,Z_Score,Bollinger_High,Bollinger_Low,RSI,SMA_50,EMA_50,MACD,ATR
2024-01-02 00:00:00-05:00,186.23761848029775,187.52133810124718,182.9935167810597,184.7349853515625,82488700,0.0,0.0,,,,,,,,184.7349853515625,,0.0
2024-01-03 00:00:00-05:00,183.32190833232914,184.97381929292,182.53575116647167,183.3517608642578,58414500,0.0,0.0,,,,,,,,184.68074125402114,,0.0
2024-01-04 00:00:00-05:00,181.26198308479132,182.19740286158623,179.99818547387906,181.02316284179688,71983600,0.0,0.0,,,,,,,,184.53730680648295,,0.0
2024-01-05 00:00:00-05:00,181.10278633743064,181.86902157901608,179.29165172771755,180.29672241210938,62303300,0.0,0.0,,,,,,,,184.37100937925263,,0.0
2024-01-08 00:00:00-05:00,181.20228054123743,184.6951784875532,180.6151605231867,184.65536499023438,59144500,0.0,0.0,,,,,,,,184.3821605796833,,0.0
2024-01-09 00:00:00-05:00,183.02335798455337,184.24735728099782,181.83915700040632,184.23741149902344,42841800,0.0,0.0,,,,,,,,184.37648414514763,,0.0
2024-01-10 00:00:00-05:00,183.45127673118873,185.49127057687537,183.02336513916433,185.2823028564453,46792900,0.0,0.0,,,,,,,,184.41200644755148,,0.0
2024-01-11 00:00:00-05:00,185.63057672110963,186.13810009590225,182.7248140769861,184.68521118164062,49128400,0.0,0.0,,,,,,,,184.42272035869223,,0.0
2024-01-12 00:00:00-05:00,185.1529124416028,185.82960518169298,184.2871587499394,185.0135955810547,40444700,0.0,0.0,,,,,,,,184.44589193603977,,0.0
2024-01-16 00:00:00-05:00,181.27193705900044,183.361690026594,180.04792262326768,182.73477172851562,65603000,0.0,0.0,,,,,,,,184.37878918280353,,0.0
2024-01-17 00:00:00-05:00,180.38628371133655,182.03817940296344,179.42101140332082,181.78939819335938,47317400,0.0,0.0,,,,,,,,184.27724443811945,,0.0
2024-01-18 00:00:00-05:00,185.182762792007,188.21789634439324,184.92403582100312,187.71038818359375,78005800,0.0,0.0,,,,,,,,184.41187752617728,,0.0
2024-01-19 00:00:00-05:00,188.4069897270921,191.01421197583775,187.89948151982946,190.62611389160156,68741000,0.0,0.0,,,,,,,,184.6555730699194,,0.0
2024-01-22 00:00:00-05:00,191.36250312836654,194.37773007418247,191.3226896328841,192.9447479248047,60133900,0.0,0.0,,,,,,72.5131953654957,,184.98063875050315,,3.521322003629024
2024-01-23 00:00:00-05:00,194.06924615918857,194.79568302432682,192.8850451968675,194.22845458984375,42355600,0.0,0.0,,,,,,74.4509608849823,,185.34329819518317,,3.4062731339026158
2024-01-24 00:00:00-05:00,194.4672860626603,195.42261254918643,193.39254945946814,193.55177307128906,53631300,0.0,0.0,,,,,,71.58606615746598,,185.66519917071673,,3.3079724164608777
2024-01-25 00:00:00-05:00,194.26827279243787,195.31315691300077,192.1685587692801,193.223388671875,54822100,0.0,0.0,,,,,,70.1748206982723,,185.96159875899747,,3.2963028255508617
2024-01-26 00:00:00-05:00,193.32290534776368,193.8105067973861,191.00426266727368,191.48191833496094,44594000,0.0,0.0,,,,,,63.07349833935536,,186.1780818796235,,3.261298633019544
2024-01-29 00:00:00-05:00,191.07390655519137,191.26298269587747,188.65576059016195,190.79527282714844,47145600,0.0,0.0,,,,,,60.474928091683246,,186.35914819129115,,3.23021714100379
2024-01-30 00:00:00-05:00,190.00914701951908,190.86495502370778,186.55606247111587,187.12327575683594,55859400,0.0,0.0,186.97450103759766,4.514402990649443,0.03295556899692573,196.00330701889655,177.94569505629877,48.87773170582423,,186.38911397817526,,3.307265384688656
2024-01-31 00:00:00-05:00,186.12815142243116,186.18787167030365,183.45127824224116,183.5010223388672,55467800,0.0,0.0,186.91280288696288,4.55487213642485,-0.7490398074650723,196.02254715981258,177.80305861411318,40.60548399919287,,186.27585548251614,,3.333317679681951
